Actividad económica principal;Indicador;Comunidad autónoma;periodo;Total
931 Gestión de instalaciones deportivas;Porcentaje;Asturias, Principado de;2012;71,2
931 Gestión de instalaciones deportivas;Porcentaje;Asturias, Principado de;2011;71,0
931 Gestión de instalaciones deportivas;Porcentaje;Asturias, Principado de;2010;68,0
931 Gestión de instalaciones deportivas;Porcentaje;Asturias, Principado de;2009;64,3
931 Gestión de instalaciones deportivas;Porcentaje;Asturias, Principado de;2008;64,4
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2024;82,3
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2023;81,2
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2022;80,3
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2021;79,3
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2020;77,5
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2019;77,3
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2018;78,2
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2017;77,6
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2016;75,2
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2015;72,0
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2014;69,8
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2013;66,4
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2012;64,4
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2011;62,5
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2010;62,4
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2009;68,4
931 Gestión de instalaciones deportivas;Porcentaje;Balears, Illes;2008;67,9
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2024;80,8
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2023;79,2
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2022;79,5
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2021;80,0
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2020;79,9
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2019;80,0
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2018;82,6
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2017;82,7
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2016;81,6
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2015;80,2
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2014;78,7
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2013;75,7
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2012;75,0
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2011;71,9
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2010;68,6
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2009;65,3
931 Gestión de instalaciones deportivas;Porcentaje;Canarias;2008;64,7
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2024;78,1
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2023;77,6
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2022;77,6
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2021;76,7
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2020;76,9
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2019;75,8
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2018;84,0
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2017;84,0
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2016;83,3
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2015;82,2
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2014;82,4
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2013;79,6
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2012;77,3
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2011;76,9
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2010;72,9
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2009;59,2
931 Gestión de instalaciones deportivas;Porcentaje;Cantabria;2008;63,0
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2024;81,9
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2023;80,3
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2022;85,1
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2021;84,8
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2020;83,9
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2019;82,8
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2018;86,4
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2017;85,4
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2016;83,9
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2015;82,0
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2014;80,2
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2013;77,8
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2012;76,3
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2011;76,0
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2010;75,5
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2009;67,6
931 Gestión de instalaciones deportivas;Porcentaje;Castilla y León;2008;67,6
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2024;82,4
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2023;82,3
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2022;83,5
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2021;83,4
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2020;82,4
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2019;81,4
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2018;83,9
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2017;82,9
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2016;80,3
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2015;77,7
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2014;75,8
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2013;73,0
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2012;72,0
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2011;69,8
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2010;68,1
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2009;63,5
931 Gestión de instalaciones deportivas;Porcentaje;Castilla-La Mancha;2008;61,8
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2024;81,0
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2023;80,7
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2022;80,4
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2021;80,3
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2020;79,5
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2019;79,0
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2018;82,4
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2017;81,3
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2016;78,8
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2015;76,1
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2014;73,0
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2013;69,4
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2012;66,6
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2011;65,6
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2010;65,2
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2009;65,7
931 Gestión de instalaciones deportivas;Porcentaje;Cataluña;2008;65,7
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2024;83,5
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2023;82,4
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2022;81,7
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2021;81,5
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2020;80,3
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2019;79,8
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2018;83,2
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2017;81,6
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2016;80,0
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2015;77,9
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2014;75,9
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2013;74,2
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2012;71,8
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2011;70,5
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2010;69,3
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2009;65,3
931 Gestión de instalaciones deportivas;Porcentaje;Comunitat Valenciana;2008;65,6
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2024;85,0
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2023;84,0
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2022;83,3
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2021;81,9
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2020;81,3
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2019;80,1
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2018;82,1
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2017;80,2
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2016;78,9
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2015;75,9
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2014;71,2
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2013;67,3
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2012;60,2
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2011;58,3
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2010;58,4
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2009;58,9
931 Gestión de instalaciones deportivas;Porcentaje;Extremadura;2008;56,1
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2024;79,1
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2023;77,9
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2022;77,5
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2021;77,5
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2020;76,8
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2019;76,9
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2018;79,9
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2017;79,5
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2016;77,4
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2015;75,3
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2014;73,1
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2013;69,9
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2012;67,2
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2011;64,8
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2010;61,9
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2009;63,1
931 Gestión de instalaciones deportivas;Porcentaje;Galicia;2008;62,2
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2024;82,9
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2023;82,1
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2022;82,8
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2021;83,0
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2020;82,6
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2019;82,1
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2018;85,5
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2017;85,0
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2016;83,4
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2015;81,6
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2014;79,8
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2013;77,9
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2012;76,0
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2011;74,2
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2010;73,9
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2009;75,5
931 Gestión de instalaciones deportivas;Porcentaje;Madrid, Comunidad de;2008;74,7
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2024;81,8
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2023;81,2
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2022;80,3
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2021;80,1
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2020;78,5
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2019;77,5
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2018;80,0
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2017;78,2
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2016;77,7
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2015;75,4
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2014;71,4
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2013;69,9
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2012;65,3
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2011;63,5
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2010;63,5
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2009;62,4
931 Gestión de instalaciones deportivas;Porcentaje;Murcia, Región de;2008;60,7
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2024;67,5
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2023;66,2
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2022;67,3
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2021;66,8
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2020;68,3
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2019;66,4
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2018;75,6
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2017;73,2
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2016;72,3
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2015;71,9
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2014;71,3
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2013;68,9
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2012;66,6
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2011;67,1
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2010;68,6
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2009;67,1
931 Gestión de instalaciones deportivas;Porcentaje;Navarra, Comunidad Foral de;2008;64,5
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2024;56,4
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2023;55,5
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2022;56,0
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2021;55,5
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2020;56,5
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2019;56,9
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2018;71,1
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2017;70,1
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2016;69,1
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2015;68,2
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2014;66,4
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2013;65,6
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2012;66,4
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2011;65,3
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2010;65,3
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2009;69,0
931 Gestión de instalaciones deportivas;Porcentaje;País Vasco;2008;58,3
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2024;81,2
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2023;79,7
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2022;77,9
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2021;75,9
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2020;74,8
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2019;75,7
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2018;80,6
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2017;78,7
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2016;77,8
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2015;71,6
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2014;71,3
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2013;72,0
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2012;71,5
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2011;70,3
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2010;70,6
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2009;66,7
931 Gestión de instalaciones deportivas;Porcentaje;Rioja, La;2008;67,1
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2024;75,6
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2023;75,8
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2022;77,3
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2021;76,9
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2020;77,4
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2019;77,2
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2018;78,3
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2017;75,4
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2016;75,9
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2015;76,9
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2014;75,5
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2013;77,0
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2012;73,4
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2011;75,6
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2010;..
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2009;..
931 Gestión de instalaciones deportivas;Porcentaje;Ceuta y Melilla;2008;..
323 Fabricación de artículos de deporte;Valores absolutos;Total;2024;284,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2023;281,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2022;302,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2021;292,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2020;272,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2019;274,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2018;261,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2017;217,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2016;208,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2015;204,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2014;177,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2013;174,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2012;175,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2011;175,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2010;188,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2009;193,0
323 Fabricación de artículos de deporte;Valores absolutos;Total;2008;197,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2024;37,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2023;41,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2022;39,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2021;38,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2020;30,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2019;34,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2018;27,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2017;21,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2016;16,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2015;18,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2014;15,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2013;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2012;15,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2011;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2010;15,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2009;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Andalucía;2008;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2024;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2023;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2022;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2021;15,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2020;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2019;12,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2018;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2017;12,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2016;12,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2015;12,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2014;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2013;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2012;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2011;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2010;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2009;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Aragón;2008;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2024;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2023;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2022;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2021;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2020;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2019;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2018;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2017;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2016;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2015;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2014;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2013;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2012;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2011;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2010;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2009;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Asturias, Principado de;2008;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2024;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2023;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2022;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2021;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2020;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2019;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2018;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2017;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2016;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2015;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2014;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2013;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2012;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2011;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2010;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2009;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Balears, Illes;2008;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2024;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2023;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2022;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2021;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2020;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2019;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2018;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2017;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2016;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2015;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2014;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2013;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2012;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2011;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2010;3,0
